admit,eascore,adms,rank
0,2.52,0,4
0,2.889,1,4
0,4.613,0,4
0,4.657,2,4
0,5.286,2,4
0,1.509,0,10
0,3.139,0,10
0,3.287,1,10
0,3.37,0,10
1,3.389,0,10
0,3.389,0,10
0,3.741,1,10
0,3.833,0,10
0,5.25,0,10
0,3.176,0,9
0,3.686,1,9
0,4.38,1,9
0,5.532,1,9
0,5.532,0,9
0,4.111,0,13
0,4.363,0,13
0,4.426,0,13
0,5.046,0,13
0,5.139,0,13
0,5.25,0,13
0,5.269,0,13
0,7.18,1,13
1,2.305,0,9
1,2.838,0,9
0,3.139,1,9
0,3.176,0,9
0,1.556,0,2
0,1.565,0,2
0,2.12,1,2
0,2.148,1,2
0,2.148,0,2
0,3.91,2,2
1,3.176,0,13
1,3.37,0,13
1,3.389,0,13
0,3.686,0,13
0,3.741,0,13
1,3.963,0,13
0,4.472,0,13
0,4.739,0,13
0,4.917,0,13
0,4.963,0,13
0,5.735,0,13
0,6.722,0,13
0,2.472,1,5
1,2.519,0,5
1,2.52,0,5
0,2.667,0,5
1,2.941,0,5
1,3.135,2,5
0,3.463,2,5
0,3.657,2,5
0,3.833,2,5
0,4.054,2,5
0,4.38,1,5
0,4.38,0,5
1,4.407,2,5
0,4.657,2,5
0,5.37,2,5
0,6.486,2,5
1,1.211,0,2
0,1.252,0,2
0,1.252,1,1
0,1.556,1,1
1,1.914,0,4
0,2.148,0,4
0,2.148,1,4
1,2.389,1,4
0,2.426,1,4
0,2.472,1,4
0,2.519,2,4
0,2.889,1,4
0,3.793,1,4
0,4.296,1,4
0,2.694,0,10
1,3.083,1,10
0,3.287,1,10
0,3.37,1,10
0,3.519,1,10
0,3.686,1,10
0,3.731,0,10
0,3.824,1,10
0,4.38,1,10
0,4.62,1,10
0,4.739,1,10
0,4.739,2,10
0,4.798,1,10
0,5.25,0,10
0,1.565,0,2
1,1.914,0,2
0,2.12,1,2
0,2.519,2,2
0,2.667,2,2
0,3.714,0,2
0,5.824,2,2
0,5.901,2,2
1,2.514,0,10
1,2.755,1,10
0,3.139,1,10
0,3.676,2,10
0,4.028,0,10
0,2.333,0,5
1,2.426,0,5
0,2.514,0,5
0,2.667,0,5
0,2.838,0,5
1,3.463,2,5
0,3.558,1,5
0,3.676,2,5
0,4.046,2,5
0,4.054,2,5
0,4.407,2,5
0,4.657,2,5
0,5.25,0,5
0,5.315,2,5
0,5.37,2,5
0,1.252,0,4
1,1.87,0,4
1,1.914,1,4
0,2.426,0,4
0,2.514,0,4
0,3.676,2,4
0,4.046,2,4
0,5.25,0,4
1,2.296,0,5
0,2.426,1,5
0,2.514,1,5
0,2.514,0,5
1,2.52,0,5
1,2.667,0,5
1,2.838,0,5
0,2.941,0,5
0,3.093,1,5
0,3.389,0,5
0,3.714,0,5
0,4.054,0,5
0,4.407,2,5
0,4.613,0,5
1,5.37,2,5
0,2.472,1,7
1,3.083,1,7
0,4.054,2,7
0,5.286,2,7
0,5.822,2,7
0,1.252,0,1
0,1.509,0,1
0,1.556,1,1
1,1.565,0,1
1,1.252,0,3
0,1.556,1,3
1,1.565,0,3
0,2.52,1,3
0,2.667,1,3
0,2.694,1,3
0,2.472,1,7
0,3.465,1,7
0,3.714,0,7
0,3.91,2,7
0,4.054,2,7
0,4.363,1,7
0,4.657,2,7
0,5.822,2,7
1,1.565,0,3
1,1.914,0,3
0,2.12,1,3
0,2.333,1,3
0,2.472,1,3
0,3.463,2,3
0,3.91,2,3
0,4.963,2,3
0,5.901,2,3
0,4.296,1,11
0,4.426,0,11
0,3.91,2,3
0,2.552,0,13
0,3.093,0,13
1,3.139,0,13
1,3.176,0,13
0,3.37,0,13
0,3.407,0,13
1,3.407,1,13
0,3.686,1,13
0,3.741,0,13
0,3.741,0,13
0,4.046,0,13
0,4.111,0,13
0,4.38,0,13
0,4.816,0,13
0,4.905,1,13
0,4.905,0,13
0,4.905,0,13
0,4.917,0,13
0,5.73,0,13
1,1.556,1,2
0,2.333,1,2
0,3.793,1,2
0,3.91,2,2
0,5.824,2,2
0,5.901,2,2
0,3.111,1,4
0,3.389,0,4
0,3.558,1,4
0,3.657,2,4
0,3.793,1,4
0,5.315,2,4
0,5.37,2,4
1,2.01,1,4
0,2.148,1,4
0,2.148,0,4
0,2.305,1,4
1,2.52,1,4
1,2.667,1,4
0,2.667,1,4
0,2.694,1,4
0,2.838,1,4
0,3.714,0,4
0,4.657,2,4
0,6.486,2,4
